Location Type,City,Borough,num_calls
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,40
Club/Bar/Restaurant,NEW YORK,MANHATTAN,18
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,21
Club/Bar/Restaurant,NEW YORK,MANHATTAN,160
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,17
Club/Bar/Restaurant,NEW YORK,MANHATTAN,211
Club/Bar/Restaurant,NEW YORK,MANHATTAN,41
Club/Bar/Restaurant,NEW YORK,MANHATTAN,271
Club/Bar/Restaurant,ELMHURST,QUEENS,15
Club/Bar/Restaurant,NEW YORK,MANHATTAN,43
Club/Bar/Restaurant,NEW YORK,MANHATTAN,42
Club/Bar/Restaurant,SOUTH RICHMOND HILL,QUEENS,46
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,1175
Club/Bar/Restaurant,BRONX,BRONX,11
Club/Bar/Restaurant,NEW YORK,MANHATTAN,24
Club/Bar/Restaurant,NEW YORK,MANHATTAN,458
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,58
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,38
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,128
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,28
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,45
Club/Bar/Restaurant,NEW YORK,MANHATTAN,23
Club/Bar/Restaurant,JACKSON HEIGHTS,QUEENS,42
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,72
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,42
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,42
Club/Bar/Restaurant,NEW YORK,MANHATTAN,127
Club/Bar/Restaurant,NEW YORK,MANHATTAN,52
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,16
Club/Bar/Restaurant,NEW YORK,MANHATTAN,19
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,24
Club/Bar/Restaurant,ROSEDALE,QUEENS,39
Club/Bar/Restaurant,BRONX,BRONX,57
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,43
Club/Bar/Restaurant,NEW YORK,MANHATTAN,43
Club/Bar/Restaurant,ASTORIA,QUEENS,31
Club/Bar/Restaurant,BRONX,BRONX,23
Club/Bar/Restaurant,BRONX,BRONX,21
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,63
Club/Bar/Restaurant,LITTLE NECK,QUEENS,85
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,30
Club/Bar/Restaurant,JAMAICA,QUEENS,152
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,231
Club/Bar/Restaurant,RICHMOND HILL,QUEENS,79
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,62
Club/Bar/Restaurant,NEW YORK,MANHATTAN,40
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,37
Club/Bar/Restaurant,JAMAICA,QUEENS,106
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,NEW YORK,MANHATTAN,70
Club/Bar/Restaurant,NEW YORK,MANHATTAN,29
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,42
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,302
Club/Bar/Restaurant,STATEN ISLAND,STATEN ISLAND,90
Club/Bar/Restaurant,NEW YORK,MANHATTAN,14
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,89
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,18
Club/Bar/Restaurant,NEW YORK,MANHATTAN,44
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,40
Club/Bar/Restaurant,NEW YORK,MANHATTAN,80
Club/Bar/Restaurant,NEW YORK,MANHATTAN,118
Club/Bar/Restaurant,NEW YORK,MANHATTAN,217
Club/Bar/Restaurant,BRONX,BRONX,10
Club/Bar/Restaurant,NEW YORK,MANHATTAN,16
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,93
Club/Bar/Restaurant,FAR ROCKAWAY,QUEENS,106
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,117
Club/Bar/Restaurant,NEW YORK,MANHATTAN,42
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,36
Club/Bar/Restaurant,NEW YORK,MANHATTAN,98
Club/Bar/Restaurant,NEW YORK,MANHATTAN,148
Club/Bar/Restaurant,NEW YORK,MANHATTAN,10
Club/Bar/Restaurant,BROOKLYN,BROOKLYN,25
Club/Bar/Restaurant,NEW YORK,MANHATTAN,127
Club/Bar/Restaurant,BRONX,BRONX,65
Club/Bar/Restaurant,ASTORIA,QUEENS,18
