location_name,date,pm25,pm10,pm1
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T14:59:52Z,4.3,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:05:32Z,4.3,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:11:12Z,5.03,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:16:51Z,4.74,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:22:31Z,7.09,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:28:11Z,4.62,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:33:51Z,4.6,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:39:30Z,5.1,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:45:10Z,4.52,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:50:50Z,5.22,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T15:56:29Z,7.27,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:02:12Z,4.91,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:07:52Z,7.01,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:13:32Z,5.52,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:19:11Z,4.71,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:24:51Z,4.58,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:30:30Z,4.23,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:36:10Z,5.58,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:41:50Z,5.44,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:47:30Z,4.87,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:53:09Z,5.62,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T16:58:52Z,4.71,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:04:31Z,5.03,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:10:11Z,4.83,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:15:50Z,5.04,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:21:30Z,4.95,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:27:09Z,5.13,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:32:49Z,4.73,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:38:28Z,16.05,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:44:08Z,7.46,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:49:47Z,7.26,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T17:55:27Z,5.45,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:01:06Z,4.84,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:06:46Z,4.89,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:12:25Z,8.46,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:18:05Z,5.1,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:23:44Z,4.67,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:29:24Z,4.7,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:35:03Z,5.28,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:40:43Z,6.23,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:46:22Z,6.29,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:52:01Z,7.63,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T18:57:41Z,6.07,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:03:20Z,4.7,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:09:00Z,5.28,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:14:48Z,5.35,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:20:28Z,11.1,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:26:07Z,4.49,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:31:47Z,4.29,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:37:26Z,4.72,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:43:05Z,4.35,,
 54th St & Grand Ave [NYC Testbed Pilot],2024-10-17T19:48:45Z,3.96,,
